,mintemp,maxtemp,prcpann,temprang,rwsaetswbs,raetcwd,prcpsum,pdaetswb,pcseas,cumlswb,rwsaet,rswbaet,rpetaet,prcpwin,prcpspr,prcpfal,pdwsaetswb,mxtmpwin,mxtmpsum,mxtmpspr,mxtmpfal,mntmpwin,mntmpsu,mntmpspr,mntmpfal,cumlws,cumlpet,cumlcwd,cumlaet,monsoon
ind_54,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_55,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_56,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_57,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_58,-9.88271,23.6931,594.683,34.037,0.742435,1.08708,38.555,69.6276,0.711919,195.974,1.44855,1.03926,1.98047,295.798,148.764,111.566,63.5288,3.99803,22.3941,8.54875,13.8629,-9.68831,4.47548,-4.97127,-5.80727,265.716,369.384,369.384,181.956,0.070879601
ind_59,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_60,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_61,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_62,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_63,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_64,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_65,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_66,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_67,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_68,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_69,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_70,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_71,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_72,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_73,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_74,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_75,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_76,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_77,-8.48544,34.7831,271.858,44.0798,0.536341,0.464611,59.4686,170.509,0.263745,14.2562,0.960575,0.060448,3.24171,53.655,73.2521,85.4823,4.86402,6.01661,33.6854,17.0292,20.4253,-7.11836,14.9524,3.46203,11.2791,221.068,733.266,733.266,504.741,0.278056681
ind_78,-6.61104,32.3387,223.697,38.6604,0.741723,0.332103,26.4982,116.218,0.456171,19.7494,1.06768,0.122679,4.07339,85.7538,67.6723,43.7729,15.8805,5.80831,29.9071,14.1373,18.4244,-5.81506,11.0901,1.04266,6.25141,173.65,658.699,658.699,496.181,0.093243152
ind_79,-6.61104,32.3387,223.697,38.6604,0.741723,0.332103,26.4982,116.218,0.456171,19.7494,1.06768,0.122679,4.07339,85.7538,67.6723,43.7729,15.8805,5.80831,29.9071,14.1373,18.4244,-5.81506,11.0901,1.04266,6.25141,173.65,658.699,658.699,496.181,0.093243152
ind_80,-6.61104,32.3387,223.697,38.6604,0.741723,0.332103,26.4982,116.218,0.456171,19.7494,1.06768,0.122679,4.07339,85.7538,67.6723,43.7729,15.8805,5.80831,29.9071,14.1373,18.4244,-5.81506,11.0901,1.04266,6.25141,173.65,658.699,658.699,496.181,0.093243152
ind_81,-6.61104,32.3387,223.697,38.6604,0.741723,0.332103,26.4982,116.218,0.456171,19.7494,1.06768,0.122679,4.07339,85.7538,67.6723,43.7729,15.8805,5.80831,29.9071,14.1373,18.4244,-5.81506,11.0901,1.04266,6.25141,173.65,658.699,658.699,496.181,0.093243152
ind_82,-6.61104,32.3387,223.697,38.6604,0.741723,0.332103,26.4982,116.218,0.456171,19.7494,1.06768,0.122679,4.07339,85.7538,67.6723,43.7729,15.8805,5.80831,29.9071,14.1373,18.4244,-5.81506,11.0901,1.04266,6.25141,173.65,658.699,658.699,496.181,0.093243152
ind_83,-6.61104,32.3387,223.697,38.6604,0.741723,0.332103,26.4982,116.218,0.456171,19.7494,1.06768,0.122679,4.07339,85.7538,67.6723,43.7729,15.8805,5.80831,29.9071,14.1373,18.4244,-5.81506,11.0901,1.04266,6.25141,173.65,658.699,658.699,496.181,0.093243152
ind_84,-6.61104,32.3387,223.697,38.6604,0.741723,0.332103,26.4982,116.218,0.456171,19.7494,1.06768,0.122679,4.07339,85.7538,67.6723,43.7729,15.8805,5.80831,29.9071,14.1373,18.4244,-5.81506,11.0901,1.04266,6.25141,173.65,658.699,658.699,496.181,0.093243152
