"Latitude" "Longitude" "Elevation" "mintemp" "maxtemp" "prcpann" "temprang" "rwsaetswbs" "raetcwd" "prcpsum" "pdaetswb" "pcseas" "cumlswb" "rwsaet" "rswbaet" "rpetaet" "prcpwin" "prcpspr" "prcpfal" "pdwsaetswb" "mxtmpwin" "mxtmpsum" "mxtmpspr" "mxtmpfal" "mntmpwin" "mntmpsu" "mntmpspr" "mntmpfal" "cumlws" "cumlpet" "cumlcwd" "cumlaet"
"ind_38" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_39" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_40" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_41" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_42" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_43" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_44" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_45" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_46" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_47" 41.46667 -120.33333 1864 -7.65704 27.7503 461.343 35.411 0.89063 0.933086 39.113 94.2268 0.559414 149.626 1.35635 0.656864 2.08526 171.626 168.777 81.8281 90.7125 3.97496 25.3374 9.85017 15.345 -7.39757 6.96432 -1.95614 -1.0838 310.498 475.004 475.004 246.907
"ind_48" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_49" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_50" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
"ind_51" 38.34694 -119.37139 2395 -9.88271 23.6931 594.683 34.037 0.742435 1.08708 38.555 69.6276 0.711919 195.974 1.44855 1.03926 1.98047 295.798 148.764 111.566 63.5288 3.99803 22.3941 8.54875 13.8629 -9.68831 4.47548 -4.97127 -5.80727 265.716 369.384 369.384 181.956
